70,295516,2020-08-20,VEUR NA,IE00B945VV12,,1900-01-01,0,EUR,28.513,9166,1,1,261350.16,261350.16,246479.52,Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
71,295516,2020-08-20,USD,,,1900-01-01,0,USD,0,2575.7,1.186105,0,2171.56,2575.7,0,,0,,0
72,295516,2020-08-20,EUR,,,1900-01-01,0,EUR,0,27749.37,1,0,27749.37,27749.37,0,,1234,,0
76,295516,2020-03-06,AEX,,PUT,2020-06-19,550,EUR,47.53,14,1,100,66542,66542,8330,Indexopties,103242,AEX P JUN 2020 550.00,0
77,295516,2020-03-06,EMIM NA,IE00BKM4GZ66,,1900-01-01,0,EUR,23.88,9900,1,1,236412,236412,248589,Aandelen Nederland,163902,iShares Core MSCI Emerging Markets IMI,0
78,295516,2020-03-06,GOVS FP,IE00B6YX5F63,,1900-01-01,0,EUR,52.465,1536,1,1,80586.24,80586.24,81091.14,Aandelen Frankrijk,164962,SPDR Barclays 1-3 Year Euro Gov Bd,0
79,295516,2020-03-06,IE15,IE00B4L60045,,1900-01-01,0,EUR,111.05,728,1,1,80844.4,80844.4,79338.7,Aandelen Engeland,134188,iShares Euro Corporate Bd 1-5yr,0
80,295516,2020-03-06,IEAN,IE00B3F81R35,,1900-01-01,0,EUR,133.92,616,1,1,82494.72,82494.72,78014.76,Aandelen Nederland,130240,iShares CORE EURO CORP BOND UCITS (NL),0
81,295516,2020-03-06,ISSP,IE0031442068,,1900-01-01,0,EUR,26.081,9990,1,1,260549.19,260549.19,220028.87,Aandelen Nederland,44532,iShares S&P 500 UCITS ETF (NL) (IUSA NA),0
82,295516,2020-03-06,TAT NA,NL0010273801,,1900-01-01,0,EUR,21.589,3411,1,1,73640.08,73640.08,83150.77,Aandelen Nederland,155704,VanEck iBoxx EUR Sov Capped AAA-AA 1-5,0
83,295516,2020-03-06,VEUR NA,IE00B945VV12,,1900-01-01,0,EUR,28.773,8240,1,1,237089.52,237089.52,220847.84,Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
84,295516,2020-03-06,USD,,,1900-01-01,0,USD,0,6.07,1.1305049999999999,0,5.37,6.07,0,,0,,0
85,295516,2020-03-06,EUR,,,1900-01-01,0,EUR,0,1580.35,1,0,1580.35,1580.35,0,,1234,,0
59,295516,2020-05-30,AEX,,PUT,2020-06-19,550,EUR,22.91,14,1,100,32074,32074,8330,Indexopties,103242,AEX P JUN 2020 550.00,0
60,295516,2020-05-30,EMIM NA,IE00BKM4GZ66,,1900-01-01,0,EUR,22.439,10924,1,1,245123.64,245123.64,272366.28,Aandelen Nederland,163902,iShares Core MSCI Emerging Markets IMI,0
61,295516,2020-05-30,GOVS FP,IE00B6YX5F63,,1900-01-01,0,EUR,52.215,1536,1,1,80202.24,80202.24,81091.14,Aandelen Frankrijk,164962,SPDR Barclays 1-3 Year Euro Gov Bd,0
62,295516,2020-05-30,IE15,IE00B4L60045,,1900-01-01,0,EUR,109.145,728,1,1,79457.56,79457.56,79338.7,Aandelen Engeland,134188,iShares Euro Corporate Bd 1-5yr,0
63,295516,2020-05-30,IEAN,IE00B3F81R35,,1900-01-01,0,EUR,130.31,616,1,1,80270.96,80270.96,78014.76,Aandelen Nederland,130240,iShares CORE EURO CORP BOND UCITS (NL),0
64,295516,2020-05-30,ISSP,IE0031442068,,1900-01-01,0,EUR,27.02,9990,1,1,269929.8,269929.8,220028.87,Aandelen Nederland,44532,iShares S&P 500 UCITS ETF (NL) (IUSA NA),0
65,295516,2020-05-30,TAT NA,NL0010273801,,1900-01-01,0,EUR,21.355,3411,1,1,72841.91,72841.91,83150.77,Aandelen Nederland,155704,VanEck iBoxx EUR Sov Capped AAA-AA 1-5,0
66,295516,2020-05-30,VEUR NA,IE00B945VV12,,1900-01-01,0,EUR,27.362,9166,1,1,250800.09,250800.09,246479.52,Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
67,295516,2020-05-30,USD,,,1900-01-01,0,USD,0,1359.92,1.1100299999999999,0,1225.12,1359.92,0,,0,,0
68,295516,2020-05-30,EUR,,,1900-01-01,0,EUR,0,53656.23,1,0,53656.23,53656.23,0,,1234,,0
63,295516,2020-08-17,AEX,,PUT,2020-12-18,530,EUR,18.43,14,1,100,25802,25802,35210,Indexopties,103242,AEX P DEC 2020 530.00,0
64,295516,2020-08-17,EMIM NA,IE00BKM4GZ66,,1900-01-01,0,EUR,25.517,10924,1,1,278747.71,278747.71,272366.28,Aandelen Nederland,163902,iShares Core MSCI Emerging Markets IMI,0
65,295516,2020-08-17,GOVS FP,IE00B6YX5F63,,1900-01-01,0,EUR,52.334,1536,1,1,80385.02,80385.02,81091.14,Aandelen Frankrijk,164962,SPDR Barclays 1-3 Year Euro Gov Bd,0
66,295516,2020-08-17,IE15,IE00B4L60045,,1900-01-01,0,EUR,110.725,728,1,1,80607.8,80607.8,79338.7,Aandelen Engeland,134188,iShares Euro Corporate Bd 1-5yr,0
67,295516,2020-08-17,IEAN,IE00B3F81R35,,1900-01-01,0,EUR,133.4,616,1,1,82174.4,82174.4,78014.76,Aandelen Nederland,130240,iShares CORE EURO CORP BOND UCITS (NL),0
68,295516,2020-08-17,ISSP,IE0031442068,,1900-01-01,0,EUR,28.431,9990,1,1,284025.69,284025.69,220028.87,Aandelen Nederland,44532,iShares S&P 500 UCITS ETF (NL) (IUSA NA),0
69,295516,2020-08-17,TAT NA,NL0010273801,,1900-01-01,0,EUR,21.276,3411,1,1,72572.44,72572.44,83150.77,Aandelen Nederland,155704,VanEck iBoxx EUR Sov Capped AAA-AA 1-5,0
70,295516,2020-08-17,VEUR NA,IE00B945VV12,,1900-01-01,0,EUR,28.769,9166,1,1,263696.65,263696.65,246479.52,Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0
71,295516,2020-08-17,USD,,,1900-01-01,0,USD,0,2575.7,1.187085,0,2169.77,2575.7,0,,0,,0
72,295516,2020-08-17,EUR,,,1900-01-01,0,EUR,0,27749.37,1,0,27749.37,27749.37,0,,1234,,0
84,295516,2020-01-26,AEX,,PUT,2020-06-19,550,EUR,5.13,14,1,100,7182,7182,8330,Indexopties,103242,AEX P JUN 2020 550.00,0
