6,295610,1000,EUR,2020-06-05,11:24:56,J,O-G,1,EUR,100000,1,-100000,0,0,0,2020-06-05,191958484,,EUR,,1900-01-01,0,4000,,,,,2020-06-05,Valuta's,1234,Euro,0,0,0,5025,0,2,,,,,
135,295610,100,EUR,2020-09-23, 0:00:00,J,TOEK,1.1668610000000001,USD,9122,0.25077,0,0,0,0,2020-10-07,193451370,IE00B3XXRP09,VUSA NA,DIV,1900-01-01,0,300,,,,,2020-09-24,Dividenden,0,DIV Vanguard S&P 500 ETF,0,0,0,0,0,1,,,,,
149,295610,100,EUR,2020-06-10, 0:00:00,J,TOEK,1.138327,USD,9082,0.19529000000000002,0,0,0,0,2020-06-24,192034703,IE00B3XXRP09,VUSA NA,DIV,1900-01-01,0,300,,,,,2020-06-11,Dividenden,0,DIV Vanguard S&P 500 ETF,0,0,0,0,0,1,,,,,
4,295610,1000,EUR,2020-06-08,11:20:08,J,O-G,1,EUR,100000,1,100000,0,0,0,2020-06-08,191980693,,EUR,,1900-01-01,0,4000,Betalingskenmerk: 233340983,,,,2020-06-08,Valuta's,1234,Euro,0,0,0,5000,0,6,,,,,
5,295610,1000,EUR,2020-06-08,11:52:15,J,O-G,1,EUR,100000,1,-100000,0,0,0,2020-06-08,191981470,,EUR,,1900-01-01,0,4000,Conform afspraak Balans,,,,2020-06-08,Valuta's,1234,Euro,0,0,0,5025,0,2,,,,,
374,295610,1000,EUR,2020-06-24,10:53:43,J,K,1,EUR,2096.28,1,-2096.28,0,0,0,2020-06-26,192239955,IE00B3XXRP09,VUSA NA,,1900-01-01,0,100,,,,,2020-06-24,Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0,38,0,0,0,2,,,,,
375,295610,100,EUR,2020-06-24, 0:00:00,J,UITK,1.133382,USD,-9082,0.19529000000000002,0,0,0,0,2020-06-24,192234010,IE00B3XXRP09,VUSA NA,DIV,1900-01-01,0,300,,,,,2020-06-24,Dividenden,0,DIV Vanguard S&P 500 ETF,0,0,0,0,0,1,,1.77,1.132105,1.133382,
376,295610,1000,EUR,2020-06-24, 0:00:00,J,UITK,1.133382,USD,1564.89,1,1564.89,0,0,0,2020-06-24,192234010,IE00B3XXRP09,VUSA NA,DIV,1900-01-01,0,300,,,,,2020-06-24,Dividenden,0,DIV Vanguard S&P 500 ETF,0,0,0,0,0,2,,1.77,1.132105,1.133382,
377,295610,100,EUR,2020-06-24,10:53:43,J,K,1,EUR,40,52.157,0,10,0,0,2020-06-26,192239955,IE00B3XXRP09,VUSA NA,,1900-01-01,0,100,,,,,2020-06-24,Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0,38,0,0,0,1,,,,,
71,295610,1000,EUR,2020-04-20, 0:00:00,J,O-G,1,EUR,25,1,-25,0,0,0,2020-04-17,191270895,,EUR,,1900-01-01,0,4000,Servicefee BinckBank,,,,2020-04-20,Valuta's,1234,Euro,0,0,0,5201,0,2,,,,,
4,295610,100,EUR,2020-05-26,16:38:22,J,V,1,EUR,-1930,52.139837,0,107.13,0,0,2020-05-28,191759758,IE00B3XXRP09,VUSA NA,,1900-01-01,0,100,,,,,2020-05-26,Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0,38,0,0,0,1,,,,,
5,295610,1000,EUR,2020-05-26,16:38:22,J,V,1,EUR,100522.76,1,100522.76,0,0,0,2020-05-28,191759758,IE00B3XXRP09,VUSA NA,,1900-01-01,0,100,,,,,2020-05-26,Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0,38,0,0,0,2,,,,,
261,295610,1000,EUR,2020-04-08, 0:00:00,J,UITK,1.08559,USD,2916.14,1,2916.14,0,0,0,2020-04-08,191131149,IE00B3XXRP09,VUSA NA,DIV,1900-01-01,0,300,,,,,2020-04-08,Dividenden,0,DIV Vanguard S&P 500 ETF,0,0,0,0,0,2,,2.78,1.084555,1.08559,
262,295610,100,EUR,2020-04-08, 0:00:00,J,UITK,1.08559,USD,-10945,0.28924,0,0,0,0,2020-04-08,191131149,IE00B3XXRP09,VUSA NA,DIV,1900-01-01,0,300,,,,,2020-04-08,Dividenden,0,DIV Vanguard S&P 500 ETF,0,0,0,0,0,1,,2.78,1.084555,1.08559,
127,295610,100,EUR,2020-03-25, 0:00:00,J,TOEK,1.092481,USD,10945,0.28924,0,0,0,0,2020-04-08,190863020,IE00B3XXRP09,VUSA NA,DIV,1900-01-01,0,300,,,,,2020-03-26,Dividenden,0,DIV Vanguard S&P 500 ETF,0,0,0,0,0,1,,,,,
73,295610,1000,EUR,2020-07-01, 0:00:00,J,O-G,1,EUR,25,1,-25,0,0,0,2020-07-01,192378180,,EUR,,1900-01-01,0,4000,Servicefee BinckBank,,,,2020-07-01,Valuta's,1234,Euro,0,0,0,5200,0,2,,,,,
0,295610,1000,EUR,2020-03-05,10:52:44,J,K,1,EUR,157107.8,1,-157107.8,0,0,0,2020-03-09,190547678,IE00B3XXRP09,VUSA NA,,1900-01-01,0,100,,,,,2020-03-05,Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0,38,0,0,0,2,,,,,
1,295610,1000,EUR,2020-03-05,10:51:55,J,V,1,EUR,5060.43,1,5060.43,0,0,0,2020-03-09,190547674,IE00B3VVMM84,VFEM NA,,1900-01-01,0,100,,,,,2020-03-05,Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0,38,0,0,0,2,,,,,
2,295610,100,EUR,2020-03-05,10:51:45,J,V,1,EUR,-5075,30.05,0,150,0,0,2020-03-09,190547621,IE00B945VV12,VEUR NA,,1900-01-01,0,100,,,,,2020-03-05,Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0,38,0,0,0,1,,,,,
3,295610,100,EUR,2020-03-05,10:52:44,J,K,1,EUR,3000,52.319266999999996,0,150,0,0,2020-03-09,190547678,IE00B3XXRP09,VUSA NA,,1900-01-01,0,100,,,,,2020-03-05,Aandelen Nederland,158127,Vanguard S&P 500 UCITS ETF,0,38,0,0,0,1,,,,,
4,295610,100,EUR,2020-03-05,10:51:55,J,V,1,EUR,-100,50.72,0,11.57,0,0,2020-03-09,190547674,IE00B3VVMM84,VFEM NA,,1900-01-01,0,100,,,,,2020-03-05,Aandelen Nederland,158126,Vanguard FTSE Emerging Markets UCITS ETF,0,38,0,0,0,1,,,,,
5,295610,1000,EUR,2020-03-05,10:51:45,J,V,1,EUR,152353.75,1,152353.75,0,0,0,2020-03-09,190547621,IE00B945VV12,VEUR NA,,1900-01-01,0,100,,,,,2020-03-05,Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0,38,0,0,0,2,,,,,
