12,295704,1000,EUR,2020-06-29, 8:46:29,J,K,1,EUR,150895,1,-150895,0,0,0,2020-07-01,192281683,IE00BDFK1573,IBTE LN,,1900-01-01,0,104,,,,,2020-06-29,Aandelen Engeland,171287,iShares $ Treasury Bond 1-3yr (EUR) Hdg,0,36,0,0,0,2,,,,,
13,295704,100,EUR,2020-06-29, 8:46:29,J,K,1,EUR,29500,5.11,0,150,0,0,2020-07-01,192281683,IE00BDFK1573,IBTE LN,,1900-01-01,0,104,,,,,2020-06-29,Aandelen Engeland,171287,iShares $ Treasury Bond 1-3yr (EUR) Hdg,0,36,0,0,0,1,,,,,
40,295704,100,EUR,2020-06-24, 0:00:00,J,UITK,1.124854,USD,-7413,0.1217,0,0,0,0,2020-06-24,192248337,IE0031442068,ISSP,DIV,1900-01-01,0,300,,,,,2020-06-25,Dividenden,0,div. iShares S&P 500 UCITS ETF (NL) (IUS,0,0,0,0,0,1,,0.81,1.12373,1.124854,
41,295704,1000,EUR,2020-06-24, 0:00:00,J,UITK,1.124854,USD,802.02,1,802.02,0,0,0,2020-06-24,192248337,IE0031442068,ISSP,DIV,1900-01-01,0,300,,,,,2020-06-25,Dividenden,0,div. iShares S&P 500 UCITS ETF (NL) (IUS,0,0,0,0,0,2,,0.81,1.12373,1.124854,
556,295704,100,EUR,2020-06-24, 0:00:00,J,UITK,1,EUR,-6808,0.23371,0,0,0,0,2020-06-24,192203755,IE00B945VV12,VEUR NA,DIV,1900-01-01,0,300,,,,,2020-06-24,Dividenden,0,DIV Vanguard FTSE Developed Europe,0,0,0,0,0,1,,,,,
557,295704,1000,EUR,2020-06-24, 0:00:00,J,UITK,1,EUR,1591.1,1,1591.1,0,0,0,2020-06-24,192203755,IE00B945VV12,VEUR NA,DIV,1900-01-01,0,300,,,,,2020-06-24,Dividenden,0,DIV Vanguard FTSE Developed Europe,0,0,0,0,0,2,,,,,
210,295704,1000,EUR,2020-03-25, 0:00:00,J,UITK,1.0850440000000001,USD,925.73,1,925.73,0,0,0,2020-03-25,190834654,IE0031442068,ISSP,DIV,1900-01-01,0,300,,,,,2020-03-25,Dividenden,0,div. iShares S&P 500 UCITS ETF (NL) (IUS,0,0,0,0,0,2,,0.62,1.084315,1.0850440000000001,
211,295704,100,EUR,2020-03-25, 0:00:00,J,UITK,1.0850440000000001,USD,-7413,0.1355,0,0,0,0,2020-03-25,190834654,IE0031442068,ISSP,DIV,1900-01-01,0,300,,,,,2020-03-25,Dividenden,0,div. iShares S&P 500 UCITS ETF (NL) (IUS,0,0,0,0,0,1,,0.62,1.084315,1.0850440000000001,
9,295704,1000,EUR,2020-03-03,15:18:39,J,K,1,EUR,66118.23,1,-66118.23,0,0,0,2020-03-05,190507663,IE0031442068,ISSP,,1900-01-01,0,100,,,,,2020-03-03,Aandelen Nederland,44532,iShares S&P 500 UCITS ETF (NL) (IUSA NA),0,38,0,0,0,2,,,,,
10,295704,1000,EUR,2020-03-03,15:16:12,J,K,1,EUR,64095.93,1,-64095.93,0,0,0,2020-03-05,190507652,IE00BKM4GZ66,EMIM NA,,1900-01-01,0,100,,,,,2020-03-03,Aandelen Nederland,163902,iShares Core MSCI Emerging Markets IMI,0,38,0,0,0,2,,,,,
11,295704,100,EUR,2020-03-03,15:21:05,J,K,1,EUR,2315,30.218072999999997,0,76.45,0,0,2020-03-05,190507745,IE00B945VV12,VEUR NA,,1900-01-01,0,100,,,,,2020-03-03,Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0,38,0,0,0,1,,,,,
12,295704,100,EUR,2020-03-03,15:18:39,J,K,1,EUR,2380,27.750286,0,72.55,0,0,2020-03-05,190507663,IE0031442068,ISSP,,1900-01-01,0,100,,,,,2020-03-03,Aandelen Nederland,44532,iShares S&P 500 UCITS ETF (NL) (IUSA NA),0,38,0,0,0,1,,,,,
13,295704,100,EUR,2020-03-03,15:16:12,J,K,1,EUR,2550,25.108,0,70.53,0,0,2020-03-05,190507652,IE00BKM4GZ66,EMIM NA,,1900-01-01,0,100,,,,,2020-03-03,Aandelen Nederland,163902,iShares Core MSCI Emerging Markets IMI,0,38,0,0,0,1,,,,,
14,295704,1000,EUR,2020-03-03,15:21:05,J,K,1,EUR,70031.29,1,-70031.29,0,0,0,2020-03-05,190507745,IE00B945VV12,VEUR NA,,1900-01-01,0,100,,,,,2020-03-03,Aandelen Nederland,158105,Vanguard FTSE Developed Europe,0,38,0,0,0,2,,,,,
116,295704,1000,EUR,2020-04-20, 0:00:00,J,O-G,1,EUR,25,1,-25,0,0,0,2020-04-17,191270937,,EUR,,1900-01-01,0,4000,Servicefee BinckBank,,,,2020-04-20,Valuta's,1234,Euro,0,0,0,5201,0,2,,,,,
392,295704,100,EUR,2020-04-08, 0:00:00,J,UITK,1,EUR,-6808,0.15585,0,0,0,0,2020-04-08,191139949,IE00B945VV12,VEUR NA,DIV,1900-01-01,0,300,,,,,2020-04-08,Dividenden,0,DIV Vanguard FTSE Developed Europe,0,0,0,0,0,1,,,,,
393,295704,1000,EUR,2020-04-08, 0:00:00,J,UITK,1,EUR,1061.03,1,1061.03,0,0,0,2020-04-08,191139949,IE00B945VV12,VEUR NA,DIV,1900-01-01,0,300,,,,,2020-04-08,Dividenden,0,DIV Vanguard FTSE Developed Europe,0,0,0,0,0,2,,,,,
195,295704,100,EUR,2020-03-25, 0:00:00,J,TOEK,1,EUR,6808,0.15585,0,0,0,0,2020-04-08,190845814,IE00B945VV12,VEUR NA,DIV,1900-01-01,0,300,,,,,2020-03-26,Dividenden,0,DIV Vanguard FTSE Developed Europe,0,0,0,0,0,1,,,,,
19,295704,100,EUR,2020-05-22,11:18:07,J,OK,1,EUR,3,28.3,0,5.85,0,0,2020-05-25,191742046,,AEX,PUT,2020-12-18,480,3000,,,,,2020-05-22,Indexopties,103242,AEX P DEC 2020 480.00,0,37,0,0,0,1,,,,,
20,295704,1000,EUR,2020-05-22,10:59:51,J,SV,1,EUR,2874.15,1,2874.15,0,0,0,2020-05-25,191741938,,AEX,PUT,2020-06-19,500,3000,,,,,2020-05-22,Indexopties,103242,AEX P JUN 2020 500.00,0,37,0,0,0,2,,,,,
21,295704,1000,EUR,2020-05-22,11:05:57,J,OK,1,EUR,10430.85,1,-10430.85,0,0,0,2020-05-25,191742038,,AEX,PUT,2020-12-18,500,3000,,,,,2020-05-22,Indexopties,103242,AEX  P DEC 2020 500.00,0,37,0,0,0,2,,,,,
22,295704,1000,EUR,2020-05-22,11:14:25,J,SV,1,EUR,10359.15,1,10359.15,0,0,0,2020-05-25,191742044,,AEX,PUT,2020-12-18,500,3000,,,,,2020-05-22,Indexopties,103242,AEX  P DEC 2020 500.00,0,37,0,0,0,2,,,,,
23,295704,1000,EUR,2020-05-22, 0:00:00,J,O-G,1,EUR,71.7,1,71.7,0,0,0,2020-05-22,191742524,,EUR,,1900-01-01,0,4000,Boeking ivm omzetting opties,,,,2020-05-22,Valuta's,1234,Euro,0,0,0,5200,0,6,,,,,
